Config:
  csv_path: TourismData_Rob_J_Hyndman.csv
  out_dir: runs_hensgen_nbeats_ncl
  total_points: 223
  train_points: 150
  val_points: 25
  test_points: 48
  seq_len: 50
  horizon: 1
  use_minmax_scaling: True
  epochs: 1000
  batches_per_epoch: 25
  batch_size: 32
  eta: 0.005
  weight_decay: 0.0
  seeds: (1337, 1338, 1339, 1340, 1341)
  enc_dim: 1024
  num_blocks: 6
  block_hidden_width: 512
  block_num_layers: 4
  latent_dim: 512
  dropout: 0.0
  use_bn_on_latent: True
  use_dynamic_alpha: True
  epoch_period: 100
  alpha_s_init: 100.0
  alpha_i: 0.1
  eps_lc: 1e-12
  num_workers: 0
  pin_memory: True
  device: cuda

Data:
  T = 228
  bottom series = 304
  hierarchy series (n_all) = 555
  states=7, zones=27, regions=76, purposes=4
Sanity mean(|y - A y|) on constructed targets (ORIG) = 1.098448e-04
Scaling: per-series Min-Max fitted on TRAIN slice only; training uses scaled space; reporting uses original units.
[baseline seed=1337] epoch    1 | train MSE(scaled)=0.202527 | val RMSE(orig)=23928.274551 | val coh(orig)=3789.639160 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1337] epoch    5 | train MSE(scaled)=0.035548 | val RMSE(orig)=742.536999 | val coh(orig)=151.139252 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1337] epoch   10 | train MSE(scaled)=0.036738 | val RMSE(orig)=662.375056 | val coh(orig)=188.605225 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1337] epoch   50 | train MSE(scaled)=0.023687 | val RMSE(orig)=372.311155 | val coh(orig)=40.536587 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1337] epoch  100 | train MSE(scaled)=0.020334 | val RMSE(orig)=387.292908 | val coh(orig)=5.923589 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1337] epoch  250 | train MSE(scaled)=0.020191 | val RMSE(orig)=413.427210 | val coh(orig)=1.663881 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1337] epoch  500 | train MSE(scaled)=0.020729 | val RMSE(orig)=410.475281 | val coh(orig)=1.376838 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1337] epoch  750 | train MSE(scaled)=0.020152 | val RMSE(orig)=411.805593 | val coh(orig)=0.897078 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1337] epoch 1000 | train MSE(scaled)=0.020265 | val RMSE(orig)=410.480922 | val coh(orig)=0.985772 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1338] epoch    1 | train MSE(scaled)=0.212917 | val RMSE(orig)=9846.318883 | val coh(orig)=2895.873047 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1338] epoch    5 | train MSE(scaled)=0.048215 | val RMSE(orig)=1196.339606 | val coh(orig)=376.310089 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1338] epoch   10 | train MSE(scaled)=0.039521 | val RMSE(orig)=873.570695 | val coh(orig)=247.202911 | alpha=0.000e+00 | lr=5.000e-03
[baseline seed=1338] epoch   50 | train MSE(scaled)=0.023749 | val RMSE(orig)=417.231563 | val coh(orig)=2.243570 | alpha=0.000e+00 | lr=5.000e-03
